Year,variable,value
2011,Unallocated,-3.27
2012,Unallocated,5.0
2013,Unallocated,-10.68
2014,Unallocated,-6.54
2015,Unallocated,-1.18
2016,Unallocated,-3.06
2017,Unallocated,-2.24
1977,GiftstoIndividuals%Change,
1978,GiftstoIndividuals%Change,
1979,GiftstoIndividuals%Change,
1980,GiftstoIndividuals%Change,
1981,GiftstoIndividuals%Change,
1982,GiftstoIndividuals%Change,
1983,GiftstoIndividuals%Change,
1984,GiftstoIndividuals%Change,
1985,GiftstoIndividuals%Change,
1986,GiftstoIndividuals%Change,
1987,GiftstoIndividuals%Change,
1988,GiftstoIndividuals%Change,
1989,GiftstoIndividuals%Change,
1990,GiftstoIndividuals%Change,
1991,GiftstoIndividuals%Change,
1992,GiftstoIndividuals%Change,
1993,GiftstoIndividuals%Change,
1994,GiftstoIndividuals%Change,
1995,GiftstoIndividuals%Change,
1996,GiftstoIndividuals%Change,
1997,GiftstoIndividuals%Change,
1998,GiftstoIndividuals%Change,
1999,GiftstoIndividuals%Change,
2000,GiftstoIndividuals%Change,
2001,GiftstoIndividuals%Change,
2002,GiftstoIndividuals%Change,
2003,GiftstoIndividuals%Change,
2004,GiftstoIndividuals%Change,
2005,GiftstoIndividuals%Change,1.7873563218390804
2006,GiftstoIndividuals%Change,1.2315112540192927
2007,GiftstoIndividuals%Change,0.8798955613577024
2008,GiftstoIndividuals%Change,1.0682492581602374
2009,GiftstoIndividuals%Change,1.1666666666666667
2010,GiftstoIndividuals%Change,1.1619047619047618
2011,GiftstoIndividuals%Change,1.25
2012,GiftstoIndividuals%Change,0.957377049180328
2013,GiftstoIndividuals%Change,1.2363013698630136
2014,GiftstoIndividuals%Change,0.9459833795013851
2015,GiftstoIndividuals%Change,1.0029282576866763
2016,GiftstoIndividuals%Change,1.4496350364963504
2017,GiftstoIndividuals%Change,0.7925478348439073
