Year,variable,value
2007,Unallocated,16.64
2008,Unallocated,15.55
2009,Unallocated,-13.68
2010,Unallocated,-1.6
2011,Unallocated,-3.57
2012,Unallocated,5.35
2013,Unallocated,-11.24
2014,Unallocated,-6.77
2015,Unallocated,-1.21
2016,Unallocated,-3.13
2017,Unallocated,-2.23
1977,GiftstoIndividuals%Change,
1978,GiftstoIndividuals%Change,
1979,GiftstoIndividuals%Change,
1980,GiftstoIndividuals%Change,
1981,GiftstoIndividuals%Change,
1982,GiftstoIndividuals%Change,
1983,GiftstoIndividuals%Change,
1984,GiftstoIndividuals%Change,
1985,GiftstoIndividuals%Change,
1986,GiftstoIndividuals%Change,
1987,GiftstoIndividuals%Change,
1988,GiftstoIndividuals%Change,
1989,GiftstoIndividuals%Change,
1990,GiftstoIndividuals%Change,
1991,GiftstoIndividuals%Change,
1992,GiftstoIndividuals%Change,
1993,GiftstoIndividuals%Change,
1994,GiftstoIndividuals%Change,
1995,GiftstoIndividuals%Change,
1996,GiftstoIndividuals%Change,
1997,GiftstoIndividuals%Change,
1998,GiftstoIndividuals%Change,
1999,GiftstoIndividuals%Change,
2000,GiftstoIndividuals%Change,
2001,GiftstoIndividuals%Change,
2002,GiftstoIndividuals%Change,
2003,GiftstoIndividuals%Change,
2004,GiftstoIndividuals%Change,
2005,GiftstoIndividuals%Change,1.7256637168141593
2006,GiftstoIndividuals%Change,1.1948717948717948
2007,GiftstoIndividuals%Change,0.8540772532188841
2008,GiftstoIndividuals%Change,1.0301507537688441
2009,GiftstoIndividuals%Change,1.1707317073170733
2010,GiftstoIndividuals%Change,1.14375
2011,GiftstoIndividuals%Change,1.2112932604735884
2012,GiftstoIndividuals%Change,0.9368421052631579
2013,GiftstoIndividuals%Change,1.219903691813804
2014,GiftstoIndividuals%Change,0.9302631578947369
2015,GiftstoIndividuals%Change,1.0014144271570014
2016,GiftstoIndividuals%Change,1.4322033898305084
2017,GiftstoIndividuals%Change,0.7761341222879684
